date,event_type,pv,uv
20181101,$pageview,6549,674
20181101,reg_input_success,29,20
20181102,$pageview,3972,581
20181102,reg_input_success,34,21
20181103,$pageview,1446,395
20181103,reg_input_success,8,8
20181104,$pageview,1387,411
20181104,reg_input_success,7,7
20181105,$pageview,3656,800
20181105,reg_input_success,14,14
20181106,$pageview,4257,1012
20181106,reg_input_success,33,33
20181107,$pageview,3813,856
20181107,reg_input_success,25,25
20181108,$pageview,4176,875
20181108,reg_input_success,29,29
20181109,$pageview,3518,650
20181109,reg_input_success,24,24
20181110,$pageview,481,215
20181110,reg_input_success,7,7
20181111,$pageview,600,192
20181111,reg_input_success,4,4
20181112,$pageview,5119,1000
20181112,reg_input_success,27,26
20181113,$pageview,4926,654
20181113,reg_input_success,19,19
20181114,$pageview,5551,682
20181114,reg_input_success,14,14
20181115,$pageview,3885,677
20181115,reg_input_success,10,10
20181116,$pageview,3450,545
20181116,reg_input_success,10,10
20181117,$pageview,631,206
20181117,reg_input_success,3,3
20181118,$pageview,1239,303
20181118,reg_input_success,9,9
20181119,$pageview,3480,831
20181119,reg_input_success,19,19
20181120,$pageview,4166,997
20181120,reg_input_success,24,24
20181121,$pageview,5482,984
20181121,reg_input_success,20,20
20181122,$pageview,6496,1224
20181122,reg_input_success,17,17
20181123,$pageview,5269,1087
20181123,reg_input_success,11,11
20181124,$pageview,1870,409
20181124,reg_input_success,12,12
20181125,$pageview,1800,376
20181125,reg_input_success,6,6
20181126,$pageview,6324,1091
20181126,reg_input_success,16,16
20181127,$pageview,6331,1194
20181127,reg_input_success,30,30
20181128,$pageview,6484,1115
20181128,reg_input_success,40,39
20181129,$pageview,6698,1393
20181129,reg_input_success,18,18
20181130,$pageview,5074,1119
20181130,reg_input_success,16,16
20181201,$pageview,2055,420
20181201,reg_input_success,4,4
20181202,$pageview,2101,494
20181202,reg_input_success,5,5
20181203,$pageview,5307,1147
20181203,reg_input_success,23,23
20181204,$pageview,6641,1345
20181204,reg_input_success,22,22
20181205,$pageview,6207,1020
20181205,reg_input_success,10,10
20181206,$pageview,6410,1049
20181206,reg_input_success,18,17
20181207,$pageview,6585,985
20181207,reg_input_success,27,4
20181208,$pageview,2764,507
20181208,reg_input_success,77,5
20181209,$pageview,1719,451
20181209,reg_input_success,3,1
20181210,$pageview,7193,1204
20181210,reg_input_success,38,10
20181211,$pageview,6497,1099
20181211,reg_input_success,21,14
20181212,$pageview,5351,1124
20181212,reg_input_success,16,13
20181213,$pageview,5420,1260
20181213,reg_input_success,39,29
20181214,$pageview,4957,1085
20181214,reg_input_success,20,17
20181215,$pageview,2036,456
20181215,reg_input_success,5,3
20181216,$pageview,1891,492
20181216,reg_input_success,3,2
20181217,$pageview,5053,1205
20181217,reg_input_success,18,14
20181218,$pageview,5273,1221
20181218,reg_input_success,23,19
20181219,$pageview,5810,1188
20181219,reg_input_success,47,33
20181220,$pageview,5701,1174
20181220,reg_input_success,49,33
20181221,$pageview,4651,1162
20181221,reg_input_success,44,33
20181222,$pageview,1731,587
20181222,reg_input_success,17,16
20181223,$pageview,1634,578
20181223,reg_input_success,18,18
20181224,$pageview,4401,1136
20181224,reg_input_success,28,26
20181225,$pageview,5172,1164
20181225,reg_input_success,27,26
20181226,$pageview,7332,1225
20181226,reg_input_success,27,27
20181227,$pageview,4855,1170
20181227,reg_input_success,27,26
20181228,$pageview,6233,1152
20181228,reg_input_success,41,40
20181229,$pageview,4868,1079
20181229,reg_input_success,28,27
20181230,$pageview,1165,431
20181230,reg_input_success,11,11
20181231,$pageview,1678,356
20181231,reg_input_success,4,4
20190101,$pageview,2078,404
20190101,reg_input_success,9,9
20190102,$pageview,4815,1036
20190102,reg_input_success,23,23
20190103,$pageview,5885,1091
20190103,reg_input_success,26,26
20190104,$pageview,5609,1232
20190104,reg_input_success,33,32
20190105,$pageview,2057,803
20190105,reg_input_success,12,12
20190106,$pageview,2876,813
20190106,reg_input_success,11,11
20190107,$pageview,6067,1183
20190107,reg_input_success,35,33
20190108,$pageview,5737,1285
20190108,reg_input_success,40,36
20190109,$pageview,6375,1532
20190109,reg_input_success,7,6
20190110,$pageview,6082,1323
20190110,reg_input_success,51,42
20190111,$pageview,3841,1088
20190111,reg_input_success,32,24
20190112,$pageview,2548,763
20190112,reg_input_success,14,10
20190113,$pageview,2504,725
20190113,reg_input_success,19,17
20190114,$pageview,8061,4844
20190114,reg_input_success,28,24
20190115,$pageview,6908,2629
20190115,reg_input_success,35,31
20190116,$pageview,5256,1258
20190116,reg_input_success,26,22
20190117,$pageview,5292,1457
20190117,reg_input_success,51,47
20190118,$pageview,3963,1113
20190118,reg_input_success,25,21
20190119,$pageview,1627,604
20190119,reg_input_success,21,16
20190120,$pageview,1911,672
20190120,reg_input_success,14,11
20190121,$pageview,6176,1633
20190121,reg_input_success,45,41
20190122,$pageview,6011,1860
