date,p_uv
2019-02-11,1629
2019-02-12,1887
2019-02-13,1840
2019-02-14,1833
2019-02-15,1762
2019-02-16,828
2019-02-17,833
2019-02-18,1803
2019-02-19,1877
2019-02-20,2175
2019-02-21,2442
2019-02-22,2213
2019-02-23,766
2019-02-24,754
2019-02-25,2224
2019-02-26,2361
2019-02-27,2065
2019-02-28,1807
2019-03-01,2793
2019-03-02,1300
2019-03-03,1041
2019-03-04,2406
2019-03-05,2337
2019-03-06,2649
2019-03-07,2457
2019-03-08,2200
2019-03-09,925
2019-03-10,752
2019-03-11,2234
2019-03-12,2224
2019-03-13,2220
2019-03-14,2193
2019-03-15,2247
2019-03-16,1056
2019-03-17,736
2019-03-18,2348
2019-03-19,2150
2019-03-20,2800
2019-03-21,2603
2019-03-22,2469
2019-03-23,1411
2019-03-24,1250
2019-03-25,3163
2019-03-26,2632
2019-03-27,2670
2019-03-28,2674
2019-03-29,2636
2019-03-30,1230
2019-03-31,1269
2019-04-01,2825
2019-04-02,2994
2019-04-03,3043
2019-04-04,2767
2019-04-05,3075
2019-04-06,1231
2019-04-07,1380
2019-04-08,3507
2019-04-09,3881
2019-04-10,1784
2019-04-11,4493
2019-04-12,3514
2019-04-13,2349
2019-04-14,2338
2019-04-15,3797
2019-04-16,3668
2019-04-17,3889
2019-04-18,3542
2019-04-19,2408
2019-04-20,2483
2019-04-21,2283
2019-04-22,3916
2019-04-23,4324
2019-04-24,3155
2019-04-25,2934
2019-04-26,2616
2019-04-27,1177
2019-04-28,2564
2019-04-29,2711
2019-04-30,2308
2019-05-01,1231
2019-05-02,1559
2019-05-03,1629
2019-05-04,1031
2019-05-05,3257
2019-05-06,3816
2019-05-07,3743
2019-05-08,3469
2019-05-09,3202
2019-05-10,2497
2019-05-11,1561
2019-05-12,1527
2019-05-13,2694
2019-05-14,2959
2019-05-15,3492
2019-05-16,3623
2019-05-17,3383
2019-05-18,2811
2019-05-19,2736
