,date,p_pv,p_uv,r_pv,r_uv,un
0,2018-11-01,6549.0,674.0,29.0,20.0,456
1,2018-11-02,3972.0,581.0,34.0,21.0,412
2,2018-11-03,1446.0,395.0,8.0,8.0,280
3,2018-11-04,1387.0,411.0,7.0,7.0,302
4,2018-11-05,3656.0,800.0,14.0,14.0,518
5,2018-11-06,4257.0,1012.0,33.0,33.0,602
6,2018-11-07,3813.0,856.0,25.0,25.0,513
7,2018-11-08,4176.0,875.0,29.0,29.0,514
8,2018-11-09,3518.0,650.0,24.0,24.0,353
9,2018-11-10,481.0,215.0,7.0,7.0,141
10,2018-11-11,600.0,192.0,4.0,4.0,162
11,2018-11-12,5119.0,1000.0,27.0,26.0,579
12,2018-11-13,4926.0,654.0,19.0,19.0,411
13,2018-11-14,5551.0,682.0,14.0,14.0,471
14,2018-11-15,3885.0,677.0,10.0,10.0,489
15,2018-11-16,3450.0,545.0,10.0,10.0,369
16,2018-11-17,631.0,206.0,3.0,3.0,186
17,2018-11-18,1239.0,303.0,9.0,9.0,282
18,2018-11-19,3480.0,831.0,19.0,19.0,725
19,2018-11-20,4166.0,997.0,24.0,24.0,811
20,2018-11-21,5482.0,984.0,20.0,20.0,801
21,2018-11-22,6496.0,1224.0,17.0,17.0,963
22,2018-11-23,5269.0,1087.0,11.0,11.0,867
23,2018-11-24,1870.0,409.0,12.0,12.0,336
24,2018-11-25,1800.0,376.0,6.0,6.0,351
25,2018-11-26,6324.0,1091.0,16.0,16.0,908
26,2018-11-27,6331.0,1194.0,30.0,30.0,922
27,2018-11-28,6484.0,1115.0,40.0,39.0,811
28,2018-11-29,6698.0,1393.0,18.0,18.0,1123
29,2018-11-30,5074.0,1119.0,16.0,16.0,873
30,2018-12-01,2055.0,420.0,4.0,4.0,367
31,2018-12-02,2101.0,494.0,5.0,5.0,467
32,2018-12-03,5307.0,1147.0,23.0,23.0,904
33,2018-12-04,6641.0,1345.0,22.0,22.0,1090
34,2018-12-05,6207.0,1020.0,10.0,10.0,795
35,2018-12-06,6410.0,1049.0,18.0,17.0,794
36,2018-12-07,6585.0,985.0,27.0,4.0,757
37,2018-12-08,2764.0,507.0,5.0,5.0,445
38,2018-12-09,1719.0,451.0,3.0,1.0,430
39,2018-12-10,7193.0,1204.0,38.0,10.0,922
40,2018-12-11,6497.0,1099.0,21.0,14.0,850
41,2018-12-12,5351.0,1124.0,16.0,13.0,876
42,2018-12-13,5420.0,1260.0,39.0,29.0,993
43,2018-12-14,4957.0,1085.0,20.0,17.0,813
44,2018-12-15,2036.0,456.0,5.0,3.0,413
45,2018-12-16,1891.0,492.0,3.0,2.0,477
46,2018-12-17,5053.0,1205.0,18.0,14.0,921
47,2018-12-18,5273.0,1221.0,23.0,19.0,944
48,2018-12-19,5810.0,1188.0,47.0,33.0,905
49,2018-12-20,5701.0,1174.0,49.0,33.0,890
50,2018-12-21,4651.0,1162.0,44.0,33.0,887
51,2018-12-22,1731.0,587.0,17.0,16.0,544
52,2018-12-23,1634.0,578.0,18.0,18.0,553
53,2018-12-24,4401.0,1136.0,28.0,26.0,981
54,2018-12-25,5172.0,1164.0,27.0,26.0,985
55,2018-12-26,7332.0,1225.0,27.0,27.0,1066
